--------- beginning of events
09-23 23:44:27.481   484   484 I snet_event_log: [121035042,-1,]
09-23 23:44:27.872   482   482 I auditd  : type=1400 audit(0.0:29): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:aee_aedv:s0 tclass=process permissive=0
09-23 23:44:27.884   537   537 I auditd  : type=1400 audit(0.0:30): avc: denied { read } for comm="aee_aed" name="boot_mode" dev="sysfs" ino=7453 scontext=u:r:crash_dump:s0 tcontext=u:object_r:sysfs_boot_mode:s0 tclass=file permissive=0
09-23 23:44:27.884   482   482 I auditd  : type=1400 audit(0.0:31): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:aee_aedv:s0 tclass=process permissive=0
09-23 23:44:27.888   482   482 I auditd  : type=1400 audit(0.0:32): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:aee_aedv:s0 tclass=process permissive=0
09-23 23:44:27.908   482   482 I auditd  : type=1400 audit(0.0:33): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:wmt_loader:s0 tclass=process permissive=0
09-23 23:44:27.920   482   482 I auditd  : type=1400 audit(0.0:34): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:mtk_wmt_launcher:s0 tclass=process permissive=0
09-23 23:44:27.924   482   482 I auditd  : type=1400 audit(0.0:35): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:fsverity_init:s0 tclass=process permissive=0
09-23 23:44:27.928   482   482 I auditd  : type=1400 audit(0.0:36): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:system_suspend:s0 tclass=process permissive=0
09-23 23:44:27.940   482   482 I auditd  : type=1400 audit(0.0:37): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:fingerprint_analysis:s0 tclass=process permissive=0
09-23 23:44:27.960   482   482 I auditd  : type=1400 audit(0.0:38): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:hal_keymaster_default:s0 tclass=process permissive=0
09-23 23:44:28.004   482   482 I auditd  : type=1400 audit(0.0:39): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:keystore:s0 tclass=process permissive=0
09-23 23:44:28.040   548   566 I auditd  : SELinux: Loaded keystore2_key_contexts from:
09-23 23:44:28.040   548   566 I auditd  :     /system/etc/selinux/plat_keystore2_key_contexts
09-23 23:44:28.268   482   482 I auditd  : type=1400 audit(0.0:40): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:tombstoned:s0 tclass=process permissive=0
09-23 23:44:28.396   482   482 I auditd  : type=1400 audit(0.0:41): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:derive_sdk:s0 tclass=process permissive=0
09-23 23:44:28.460   482   482 I auditd  : type=1400 audit(0.0:42): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:vold_prepare_subdirs:s0 tclass=process permissive=0
09-23 23:44:28.504   482   482 I auditd  : type=1400 audit(0.0:43): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:derive_classpath:s0 tclass=process permissive=0
09-23 23:44:28.548   482   482 I auditd  : type=1400 audit(0.0:44): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:odsign:s0 tclass=process permissive=0
09-23 23:44:28.608   482   482 I auditd  : type=1400 audit(0.0:45): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:tzdatacheck:s0 tclass=process permissive=0
09-23 23:44:28.668   482   482 I auditd  : type=1400 audit(0.0:46): avc: denied { getattr } for comm="logd.writer" scontext=u:r:logd:s0 tcontext=u:r:cotamnt:s0 tclass=process permissive=0
09-23 23:44:28.712   601   601 I auditd  : type=1400 audit(0.0:47): avc: denied { search } for comm="ls" name="vivo-common" dev="dm-10" ino=9 scontext=u:r:toolbox:s0 tcontext=u:object_r:vivo_data_file:s0 tclass=dir permissive=0
09-23 23:44:28.712   482   482 I auditd  : type=1400 audit(0.0:48): avc: denied { getattr } for comm="logd.auditd" scontext=u:r:logd:s0 tcontext=u:r:toolbox:s0 tclass=process permissive=0
09-23 23:44:28.728   459   459 I auditd  : type=1400 audit(0.0:49): avc: denied { create } for comm="init" name="engineermode" scontext=u:r:vendor_init:s0 tcontext=u:object_r:em_data_file:s0 tclass=dir permissive=0
09-23 23:44:28.728   482   482 I auditd  : type=1400 audit(0.0:50): avc: denied { getattr } for comm="logd.auditd" scontext=u:r:logd:s0 tcontext=u:r:vendor_init:s0 tclass=process permissive=0
09-23 23:44:28.744   603   603 I auditd  : type=1400 audit(0.0:51): avc: denied { read } for comm="loop0" path="/data/vivo-common/dyn/system_dyn.img" dev="dm-10" ino=489 scontext=u:r:kernel:s0 tcontext=u:object_r:vivo_dyn_file:s0 tclass=file permissive=0
09-23 23:44:28.744   603   603 I auditd  : type=1400 audit(0.0:52): avc: denied { read } for comm="loop0" path="/data/vivo-common/dyn/system_dyn.img" dev="dm-10" ino=489 scontext=u:r:kernel:s0 tcontext=u:object_r:vivo_dyn_file:s0 tclass=file permissive=0
